time strain
0.038433021 -7.486756199999998e-22
0.038477919 -7.4792374e-22
0.038522817 -7.471713899999999e-22
0.038567716 -7.464182499999998e-22
0.038612614 -7.456636799999999e-22
0.038657512 -7.449076499999998e-22
0.038702411 -7.4415068e-22
0.038747309 -7.433931899999998e-22
0.038792208 -7.426365799999999e-22
0.038837106 -7.4187953999999985e-22
0.038882004 -7.411214899999999e-22
0.038926903000000006 -7.403621399999998e-22
0.038971801 -7.396027e-22
0.0390167 -7.3884192e-22
0.039061598 -7.3808088e-22
0.039106496 -7.373186399999998e-22
0.039151395 -7.365550899999998e-22
0.039196293 -7.357897199999998e-22
0.039241192 -7.3502248e-22
0.03928609 -7.342535599999999e-22
0.039330988 -7.334837899999998e-22
0.039375887 -7.327119699999998e-22
0.039420785 -7.319392599999999e-22
0.039465683 -7.311654399999998e-22
0.039510582 -7.303912999999999e-22
0.03955548 -7.296153099999999e-22
0.039600379 -7.2883796e-22
0.039645277 -7.2805928e-22
0.039690175 -7.272802999999999e-22
0.039735074 -7.2649941999999985e-22
0.039779972 -7.2571713e-22
0.039824871 -7.249340999999998e-22
0.039869769 -7.2414951e-22
0.039914667 -7.233643e-22
0.039959566 -7.225776699999999e-22
0.040004464 -7.2179057e-22
0.040049363 -7.2100316e-22
0.040094261000000006 -7.202155899999999e-22
0.040139159 -7.194278e-22
0.040184058 -7.1864049e-22
0.040228956 -7.178535299999999e-22
0.040273854 -7.1706702e-22
0.040318753 -7.1628093e-22
0.040363651 -7.154944499999999e-22
0.04040855 -7.1470863e-22
0.040453448 -7.1392211e-22
0.040498346 -7.1313488999999995e-22
0.040543245 -7.123454299999998e-22
0.040588143 -7.115537600000002e-22
0.040633042 -7.107595900000001e-22
0.04067794 -7.099627999999999e-22
0.040722838 -7.091631099999998e-22
0.040767737 -7.083616099999999e-22
0.040812635 -7.075582799999999e-22
0.040857534 -7.067538999999998e-22
0.040902432 -7.0594764e-22
0.04094733 -7.051406199999999e-22
0.040992229000000005 -7.0433375e-22
0.041037127 -7.035282700000001e-22
0.041082025 -7.027230900000001e-22
0.041126924 -7.019192e-22
0.041171822 -7.0111712999999995e-22
0.041216721 -7.0031577e-22
0.041261619000000006 -6.995127800000001e-22
0.041306517 -6.987079600000002e-22
0.041351416 -6.979014399999999e-22
0.041396314 -6.970940099999999e-22
0.041441213 -6.9628675e-22
0.041486111 -6.9548092e-22
0.041531009 -6.9467634e-22
0.041575908 -6.938713899999999e-22
0.041620806 -6.9306572e-22
0.041665705 -6.922597399999999e-22
0.041710603 -6.9145416e-22
0.041755501 -6.906483499999998e-22
0.0418004 -6.898413000000001e-22
0.041845298 -6.8903381e-22
0.041890196 -6.8822635e-22
0.041935095 -6.874187899999999e-22
0.041979993 -6.8661133999999995e-22
0.042024892 -6.858022000000001e-22
0.04206979 -6.8499284e-22
0.042114688 -6.841836499999999e-22
0.042159587000000005 -6.8337493000000005e-22
0.042204485 -6.825683199999999e-22
0.042249384 -6.8176467e-22
0.042294282 -6.8096416e-22
0.04233918 -6.8016596e-22
0.042384079 -6.7936933e-22
0.04242897700000001 -6.7857411e-22
0.042473875 -6.7778121e-22
0.042518774 -6.7699078e-22
0.042563672 -6.7620227e-22
0.042608571 -6.754162999999999e-22
0.042653469 -6.7463226e-22
0.042698367 -6.738498e-22
0.042743266 -6.730680699999998e-22
0.042788164 -6.722856000000001e-22
0.042833063 -6.7150267e-22
0.042877961 -6.707192699999999e-22
0.042922859 -6.699357799999999e-22
